Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Target ChEMBL ID,Smiles
CHEMBL439521,IC50,'=',1.2,nM,8.92,CHEMBL4822,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)Nc1cc(-c2nn[nH]n2)cc(-c2nn[nH]n2)c1
CHEMBL3604597,IC50,'=',64000.0,nM,4.19,CHEMBL4822,CCC[C@H](NC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cccs1)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)[C@@H](C)CC)C(=O)O
CHEMBL379781,IC50,'=',13.0,nM,7.89,CHEMBL4822,CC(C)CNC(=O)[C@H](CCO)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1
CHEMBL253641,IC50,'=',2.0,nM,8.7,CHEMBL4822,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c(F)c(N2CCCCS2(=O)=O)c1
CHEMBL447120,IC50,'=',87.0,nM,7.06,CHEMBL4822,CCc1coc2c(N3CCCC3=O)cc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNCc3cccc(C(F)(F)F)c3)cc12
CHEMBL559870,IC50,'=',5350.0,nM,5.27,CHEMBL4822,Oc1cc(O)c2oc3cc(O)c4oc5cc(O)cc(O)c5oc4c3oc2c1
CHEMBL291784,IC50,'=',3600.0,nM,5.44,CHEMBL4822,CN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1N
CHEMBL1087736,IC50,'=',15730.0,nM,4.8,CHEMBL4822,CC(C)CNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc([N+](=O)[O-])cc1
CHEMBL1099023,IC50,'=',3810.0,nM,5.42,CHEMBL4822,COc1ccc(C(=O)N[C@@H](Cc2ccc([N+](=O)[O-])cc2)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)NCC(C)C)cc1OC
CHEMBL1209284,IC50,'=',1000.0,nM,6.0,CHEMBL4822,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CCCNC3=O)c2)CCCCC1
CHEMBL376504,IC50,'=',1800.0,nM,5.75,CHEMBL4822,Cc1nc(CNC(=O)c2cc(C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NC(C)C)C(C)C)cc(N(C)S(C)(=O)=O)c2)c(C)o1
CHEMBL1210339,IC50,'=',41000.0,nM,4.39,CHEMBL4822,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(S(=O)(=O)N(C)Cc2ccccc2)c1)C(=O)NC1CCCCC1
CHEMBL1210338,IC50,'=',50000.0,nM,4.3,CHEMBL4822,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(S(=O)(=O)Cc2ccccc2)c1)C(=O)NC1CCCCC1
CHEMBL522520,IC50,'=',3200.0,nM,5.5,CHEMBL4822,COc1ccc(C(Cc2cc([N+](=O)[O-])ccc2OC)c2c[nH]c(N)n2)cc1F
CHEMBL2347211,IC50,'=',0.93,nM,9.03,CHEMBL4822,C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCSC(N)=N1
CHEMBL4563915,IC50,'=',7.2,nM,8.14,CHEMBL4822,C[C@@]1(c2cc(NC(=O)c3cnc(C(F)F)cn3)ccc2F)CCSC(N)=N1
CHEMBL4568202,IC50,'=',1.8,nM,8.74,CHEMBL4822,C[C@@]1(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2F)CCSC(N)=N1
CHEMBL4443968,IC50,'=',4.3,nM,8.37,CHEMBL4822,C[C@]1(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2F)N=C(N)SCC12CCC(F)(F)CC2
CHEMBL570298,IC50,'=',19.0,nM,7.72,CHEMBL4822,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCNC(=O)C1
CHEMBL570762,IC50,'=',33.0,nM,7.48,CHEMBL4822,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](C(F)(F)F)NC1
CHEMBL571432,IC50,'=',240.0,nM,6.62,CHEMBL4822,COC(=O)N[C@H]1CC[C@@](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CN1
CHEMBL539436,IC50,'=',12.0,nM,7.92,CHEMBL4822,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNCc4cccc(OC)c4)cc13)N(C)S(=O)(=O)CC2
CHEMBL560092,IC50,'=',8.0,nM,8.1,CHEMBL4822,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNCCC(F)(F)F)cc13)N(C)S(=O)(=O)CC2
CHEMBL82102,IC50,'=',230.0,nM,6.64,CHEMBL4822,CC(C)C[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C
CHEMBL390159,IC50,'=',10300.0,nM,4.99,CHEMBL4822,Cc1nc(C(C)NC(=O)c2cc(C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NC(C)C)C(C)C)cc(N(C)S(C)(=O)=O)c2)c(C)o1
CHEMBL556143,IC50,'=',808.0,nM,6.09,CHEMBL4822,CC(CP(=O)(O)C1CCCCCC[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C
CHEMBL556143,IC50,'=',320.0,nM,6.5,CHEMBL4822,CC(CP(=O)(O)C1CCCCCC[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C
CHEMBL3233830,IC50,'=',120.0,nM,6.92,CHEMBL4822,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCNC(=O)c4cc(O)c5c(c4)C(=O)c4cccc(O)c4C5=O)c3C(C1)C2.Cl
CHEMBL1164540,IC50,'=',7100.0,nM,5.15,CHEMBL4822,O=C(O)c1cc(-c2ccc(/C=N/Nc3nc(Nc4ccc(F)cc4)nc(N4CCOCC4)n3)o2)ccc1Cl
CHEMBL1163250,IC50,'=',100000.0,nM,4.0,CHEMBL4822,O=C(NCc1ccccc1Cl)c1ccc(N2CC3CC(C2)c2cccc(=O)n2C3)c(NS(=O)(=O)c2ccc3c(c2)OCCO3)c1
CHEMBL1165057,IC50,'=',100000.0,nM,4.0,CHEMBL4822,NS(=O)(=O)c1ccc(NC(=O)CSc2nnc(-c3ccccc3)c(-c3ccccc3)n2)cc1
CHEMBL1163845,IC50,'=',12000.0,nM,4.92,CHEMBL4822,O=C(C[n+]1cccc(C(=O)NCCc2ccccc2)c1)Nc1cccc(C(=O)Nc2ccc(Cl)cc2)c1.[Cl-]
CHEMBL260621,IC50,'=',150.0,nM,6.82,CHEMBL4822,CC(C)(C)c1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1
CHEMBL413999,IC50,'=',1970.0,nM,5.71,CHEMBL4822,CN(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1
CHEMBL255838,IC50,'=',5.6,nM,8.25,CHEMBL4822,CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)Nc1cccc(-c2nn[nH]n2)c1
CHEMBL3359763,IC50,'=',4.4,nM,8.36,CHEMBL4822,CC1(C#Cc2cnc3c(c2)[C@]2(COC(N)=N2)c2cc(-c4cccnc4F)ccc2O3)COC1
CHEMBL3359761,IC50,'=',2.8,nM,8.55,CHEMBL4822,COC(C)(C)C#Cc1cnc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cccnc3F)ccc1O2
CHEMBL3359760,IC50,'=',4.5,nM,8.35,CHEMBL4822,CC(C)(C)C#Cc1cnc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cccnc3F)ccc1O2
CHEMBL3359763,IC50,'=',0.7,nM,9.15,CHEMBL4822,CC1(C#Cc2cnc3c(c2)[C@]2(COC(N)=N2)c2cc(-c4cccnc4F)ccc2O3)COC1
CHEMBL3359754,IC50,'=',5.6,nM,8.25,CHEMBL4822,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1ncc(C3CCOCC3)cc12
CHEMBL3359750,IC50,'=',248.0,nM,6.61,CHEMBL4822,CC(C)(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)cnc1O2
CHEMBL3359758,IC50,'=',0.8,nM,9.1,CHEMBL4822,N#Cc1ccc(-c2cnc3c(c2)[C@]2(COC(N)=N2)c2cc(-c4cccnc4F)ccc2O3)cc1
CHEMBL183546,IC50,'=',3.9,nM,8.41,CHEMBL4822,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)Nc1cc(C(=O)O)cc(C(=O)O)c1
CHEMBL3586207,IC50,'=',6910.0,nM,5.16,CHEMBL4822,CCCC[C@@H](O)/C=C/C=C/C(=O)O
CHEMBL490304,IC50,'=',590.0,nM,6.23,CHEMBL4822,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCCC(=O)N[C@@H](C)C(=O)N1
CHEMBL539467,IC50,'=',24.0,nM,7.62,CHEMBL4822,CO/N=C(/C)c1cc(C(=O)NC(C)c2ccc(F)cc2)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1
CHEMBL557278,IC50,'=',54.0,nM,7.27,CHEMBL4822,CCCN(CCC)C(=O)c1cc(Oc2ccccc2OC)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1
CHEMBL539465,IC50,'=',53.0,nM,7.28,CHEMBL4822,CCCN(CCC)C(=O)c1cc(CCO)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1
CHEMBL558938,IC50,'=',82.0,nM,7.09,CHEMBL4822,CO/N=C(/C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(C(=O)N[C@H](C)c2ccccc2)c1
CHEMBL539467,IC50,'=',276.0,nM,6.56,CHEMBL4822,CO/N=C(/C)c1cc(C(=O)NC(C)c2ccc(F)cc2)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1
CHEMBL558894,IC50,'=',217.0,nM,6.66,CHEMBL4822,CCCO/N=C(/C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(N(C)S(C)(=O)=O)c1
CHEMBL221597,IC50,'=',31.0,nM,7.51,CHEMBL4822,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1
CHEMBL3414700,IC50,'=',59.0,nM,7.23,CHEMBL4822,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](C(F)F)C[C@H]2CS1
CHEMBL3414709,IC50,'=',59.0,nM,7.23,CHEMBL4822,CC[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2ccc(F)cc2F)CO1
CHEMBL3414702,IC50,'=',36000.0,nM,4.44,CHEMBL4822,C[C@@]1(c2ccc(F)cc2F)CCSC(N)=N1
CHEMBL3414701,IC50,'=',1070.0,nM,5.97,CHEMBL4822,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](CF)C[C@H]2CS1
CHEMBL461602,IC50,'=',8700.0,nM,5.06,CHEMBL4822,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1
CHEMBL494015,IC50,'=',3400.0,nM,5.47,CHEMBL4822,COc1ccc(C(Cc2cc([N+](=O)[O-])ccc2OC)c2c[nH]c(N)n2)cc1
CHEMBL541485,IC50,'=',4600.0,nM,5.34,CHEMBL4822,C[C@@H](NC(=O)c1cc(NC(=O)CC[C@@](O)(Cc2ccccc2)C(=O)N[C@H]2c3ccccc3C[C@H]2O)cc(N(C)S(C)(=O)=O)c1)c1ccccc1
CHEMBL554781,IC50,'=',570.0,nM,6.24,CHEMBL4822,C[C@@H](NC(=O)c1cc(NC(=O)CCC(O)(CCc2ccccc2)C(=O)N[C@H]2c3ccccc3C[C@H]2O)cc(N(C)S(C)(=O)=O)c1)c1ccccc1
CHEMBL78946,IC50,'=',1.6,nM,8.8,CHEMBL4822,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
CHEMBL567633,IC50,'=',790.0,nM,6.1,CHEMBL4822,NC1=N[C@@](c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2)C2=NCCCN12
CHEMBL556143,IC50,'=',47.0,nM,7.33,CHEMBL4822,CC(CP(=O)(O)C1CCCCCC[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C
CHEMBL138002,IC50,'=',890.0,nM,6.05,CHEMBL4822,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1cccc(C(=O)O)c1)C(C)C
CHEMBL556660,IC50,'=',144.0,nM,6.84,CHEMBL4822,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CN[C@H](C)CC)cc13)N(C)S(=O)(=O)CC2
CHEMBL3680879,IC50,'=',90.0,nM,7.05,CHEMBL4822,Cn1nc(C(F)(F)F)cc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)OC[C@@H]2F)c1
CHEMBL595065,IC50,'=',19.0,nM,7.72,CHEMBL4822,CC(C)c1cccc(CNC[C@@H](O)[C@@H]2Cc3cccc(c3)OCCCCNc3cc(cc(N4C=COC4)c3)C(=O)N2)c1
CHEMBL595066,IC50,'=',20.0,nM,7.7,CHEMBL4822,COCc1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNC1(c3cccc(C(C)C)c3)CC1)Cc1cccc(c1)OCCCCN2
CHEMBL563114,IC50,'=',4427.0,nM,5.35,CHEMBL4822,CCn1cc2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNCC(F)(F)C(F)(F)F)cc31)N(C)S(=O)(=O)CC2
CHEMBL550208,IC50,'=',14.0,nM,7.85,CHEMBL4822,CCn1cc2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc31)N(C)S(=O)(=O)CC2
CHEMBL554281,IC50,'=',26.0,nM,7.58,CHEMBL4822,C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C
CHEMBL534410,IC50,'=',48.0,nM,7.32,CHEMBL4822,CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CC)cn3CCS(=O)(=O)N2C
CHEMBL556660,IC50,'=',22.0,nM,7.66,CHEMBL4822,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CN[C@H](C)CC)cc13)N(C)S(=O)(=O)CC2
CHEMBL556453,IC50,'=',10.0,nM,8.0,CHEMBL4822,CC[C@@H](C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C
CHEMBL492248,IC50,'=',21000.0,nM,4.68,CHEMBL4822,CC(=O)Nc1ccc(N2C(=O)N=C(NC3CCCCC3)C23CCN(Cc2ccccc2)CC3)cc1
CHEMBL1088215,IC50,'=',4000.0,nM,5.4,CHEMBL4822,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](C)NC(C)=O
CHEMBL489052,IC50,'=',264.0,nM,6.58,CHEMBL4822,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCNC2=O)c1
CHEMBL511110,IC50,'=',2.0,nM,8.7,CHEMBL4822,COC[C@H]1CCCN1C(=O)c1cncc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCN(Cc3ccccc3)C2=O)c1
CHEMBL453413,IC50,'=',4.0,nM,8.4,CHEMBL4822,COC[C@H]1CCCN1C(=O)c1cc(OC)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCN(Cc3ccccc3)C2=O)c1
CHEMBL522924,IC50,'=',7000.0,nM,5.16,CHEMBL4822,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCN(C)C2=O)c1
CHEMBL511110,IC50,'=',140.0,nM,6.85,CHEMBL4822,COC[C@H]1CCCN1C(=O)c1cncc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCN(Cc3ccccc3)C2=O)c1
CHEMBL291784,IC50,'=',3400.0,nM,5.47,CHEMBL4822,CN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1N
CHEMBL598257,IC50,'=',100.0,nM,7.0,CHEMBL4822,Cc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccn1
CHEMBL300665,IC50,'=',56000.0,nM,4.25,CHEMBL4822,CC(C)CC(NC(=O)Cc1ccc(-c2ccccc2)cc1)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C
CHEMBL445960,IC50,'=',3233.0,nM,5.49,CHEMBL4822,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCC2CCN(Cc3ccccc3)CC2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1
CHEMBL566407,IC50,'=',50.0,nM,7.3,CHEMBL4822,CCCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC
CHEMBL566638,IC50,'=',69.98,nM,7.16,CHEMBL4822,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1OC1CCCC1
CHEMBL565996,IC50,'=',35.97,nM,7.44,CHEMBL4822,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1Cl
CHEMBL538647,IC50,'=',12.0,nM,7.92,CHEMBL4822,CC(C)C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)P(=O)(O)C[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C
CHEMBL253866,IC50,'=',160.0,nM,6.8,CHEMBL4822,CCOc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(-c2ccccc2C#N)c1
CHEMBL264322,IC50,'=',14.0,nM,7.85,CHEMBL4822,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(OC)c2)c(F)c(N2CCCCS2(=O)=O)c1
CHEMBL409766,IC50,'=',26.0,nM,7.58,CHEMBL4822,CCNc1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(N2CCCCS2(=O)=O)c1
CHEMBL264322,IC50,'=',12.0,nM,7.92,CHEMBL4822,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(OC)c2)c(F)c(N2CCCCS2(=O)=O)c1
CHEMBL409766,IC50,'=',203.0,nM,6.69,CHEMBL4822,CCNc1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(N2CCCCS2(=O)=O)c1
CHEMBL399656,IC50,'=',1113.0,nM,5.95,CHEMBL4822,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cnn(CC)c2)cc(N2CCCCS2(=O)=O)c1
CHEMBL264321,IC50,'=',366.0,nM,6.44,CHEMBL4822,CCCc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N2CCCCS2(=O)=O)c1
CHEMBL3236216,IC50,'=',7040.0,nM,5.15,CHEMBL4822,COc1ccc(CNC(=O)c2c[nH]c3ccc(S(=O)(=O)Nc4ccc(C(F)(F)F)cc4)cc3c2=O)cc1
CHEMBL4217620,IC50,'=',0.6,nM,9.22,CHEMBL4822,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@@H](OC)CC2)C3)c1
CHEMBL537300,IC50,'=',248.0,nM,6.61,CHEMBL4822,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CCOCC4)cc13)N(CC(F)(F)F)S(=O)(=O)CC2
CHEMBL523193,IC50,'=',16.0,nM,7.8,CHEMBL4822,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc13)N(C)S(=O)(=O)CC2
CHEMBL554349,IC50,'=',6.0,nM,8.22,CHEMBL4822,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNCc4cccc(C(F)(F)F)c4)cc13)N(C)S(=O)(=O)CC2
CHEMBL490304,IC50,'=',590.0,nM,6.23,CHEMBL4822,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCCC(=O)N[C@@H](C)C(=O)N1
CHEMBL564010,IC50,'=',45.0,nM,7.35,CHEMBL4822,CC(C)c1cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N2)c1
CHEMBL2381678,IC50,'=',84900.0,nM,4.07,CHEMBL4822,COc1cncc(-c2cccc([C@@H]3C[C@@H]3c3cc(=O)n(C)c(N)n3)c2)n1
CHEMBL2381580,IC50,'=',47500.0,nM,4.32,CHEMBL4822,CSc1cccc(-c2cccc([C@@H]3C[C@@H]3c3cc(=O)n(C)c(N)n3)c2)c1
CHEMBL3650159,IC50,'=',20000.0,nM,4.7,CHEMBL4822,COC(C)(C)C1CCCCN1C(=O)[C@@H]1CNCC12CCCc1ccccc12
CHEMBL3945580,IC50,'=',200.0,nM,6.7,CHEMBL4822,O=C([C@@H]1CNC[C@]12CCCc1nc(Cl)ccc12)N1CCC2(C=Cc3ccccc32)CC1c1ccccc1
CHEMBL4166588,IC50,'=',42000.0,nM,4.38,CHEMBL4822,Cl.Nc1ncnc2c1ncn2CCNCC/N=C/c1ccc(O)cc1O
CHEMBL589369,IC50,'=',55.0,nM,7.26,CHEMBL4822,Cc1cc2cc(n1)OCCCCOc1cccc(c1)C[C@@H]([C@H](O)CNCc1cccc(C(C)C)c1)NC2=O
CHEMBL263333,IC50,'=',40000.0,nM,4.4,CHEMBL4822,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](N)[C@@H](C)O)[C@@H](C)CC)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)C(C)C
CHEMBL2114169,IC50,'=',1058.0,nM,5.98,CHEMBL4822,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C
CHEMBL504917,IC50,'=',24.0,nM,7.62,CHEMBL4822,O=C(N[C@@H](Cc1ccccc1)[C@H](O)C(=O)Nc1cccc(-c2nn[nH]n2)c1)c1cc(I)cc(C(=O)N2COC[C@@H]2c2ccccc2)n1
CHEMBL453211,IC50,'=',9.0,nM,8.05,CHEMBL4822,O=C(N[C@@H](Cc1ccccc1)[C@H](O)C(=O)Nc1cccc(-c2nn[nH]n2)c1)c1cc(Br)cc(C(=O)N2COC[C@@H]2c2ccc(F)cc2)n1
CHEMBL558582,IC50,'=',30.0,nM,7.52,CHEMBL4822,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CCCCC4)cc13)N(CC)S(=O)(=O)CC2
CHEMBL535008,IC50,'=',129.0,nM,6.89,CHEMBL4822,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC(C)(C)CCCC(C)C)cc13)N(C)S(=O)(=O)C2
CHEMBL501068,IC50,'=',69.0,nM,7.16,CHEMBL4822,CC(=O)O.CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)CCCC(C)C)cc(N2CCCCS2(=O)=O)c1
CHEMBL504197,IC50,'=',28.85,nM,7.54,CHEMBL4822,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CCCCC4)cc13)N(C)S(=O)(=O)CC2.O=CO
CHEMBL523193,IC50,'=',16.85,nM,7.77,CHEMBL4822,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc13)N(C)S(=O)(=O)CC2
